Controlled Unclassified Information (CUI),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period Name,Main Account Code,Fund,Budget Line Item,BALI,Ba Bsa Bli,Limit,Project,GL Organization,Budget Authority,Commitments,Obligations,Expenditures,Disbursements,Funds Available,Oligation Rate,Expenditure Rate,Ledger Name
DEC-FY-26,0100,9701002626D,3PL1,3PL1000000000000,030000333PL1000000000000,1200,0,AA,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,CAP,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,CIC,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,CISA,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,COS,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,CSO,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,ES,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,INSS,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,ISMO,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,JFSC,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,NDU,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,NWC,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,,TJS,0,0,0,0,0,0,,,TJS SET OF BOOKS
,,,,,,,NDU_AA_26,AA,30000,15444,5427.45,0,0,9128.55,0.180915,0,TJS SET OF BOOKS
,,,,,,,NDU_CAP_26,CAP,1500000,846293.81,36988,0,0,616718.19,0.0246586666666667,0,TJS SET OF BOOKS
,,,,,,,NDU_CIC_26,CIC,560000,0,0,0,0,560000,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CISA_26,CISA,230000,0,0,0,0,230000,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_AA_26,AA,682353.1,0,0,0,0,682353.1,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_CAP_26,CAP,157466.1,0,0,0,0,157466.1,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_CIC_26,CIC,1732127.11,0,0,0,0,1732127.11,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_CISA_26,CISA,1154751.4,0,0,0,0,1154751.4,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_COS_26,COS,157466.1,0,0,0,0,157466.1,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_CSO_26,CSO,209954.8,0,0,0,0,209954.8,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_ES_26,ES,1259728.81,0,0,0,0,1259728.81,0,0,TJS SET OF BOOKS
,,,,,,,NDU_CIVPAY_FED_26,CSO,524887,0,0,0,0,524887,0,0,TJS SET OF BOOKS
