id,period name,main account code,fund,budget line item,bali,ba bsa bli,limit,project,gl organization,budget authority,commitments,obligations,expenditures,disbursements,funds available,oligation rate,expenditure rate,ledger name,dbscan labels,dbscan identifier,dbscan category,optics labels,optics identifier,optics category,hdbscan labels,hdbscan identifier,hdbscan category,total identifiers,total category
1,DEC-FY-26,100.0,9701002626D,3PL1,3PL1000000000000,030000333PL1000000000000,1200.0,0,AA,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,1,0,not anomaly,-1,1,anomaly,2,0,not anomaly,1,low
2,,,,,,,,,CAP,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
3,,,,,,,,,CIC,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
4,,,,,,,,,CISA,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
5,,,,,,,,,COS,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,-1,1,anomaly,3,0,not anomaly,1,0,not anomaly,1,low
6,,,,,,,,,CSO,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,-1,1,anomaly,3,0,not anomaly,-1,1,anomaly,2,medium
7,,,,,,,,,ES,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
8,,,,,,,,,INSS,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
9,,,,,,,,,ISMO,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
10,,,,,,,,,JFSC,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
11,,,,,,,,,NDU,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
12,,,,,,,,,NWC,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
13,,,,,,,,,TJS,0.0,0.0,0.0,0.0,0.0,0.0,,,TJS SET OF BOOKS,0,0,not anomaly,3,0,not anomaly,1,0,not anomaly,0,none
14,,,,,,,,NDU_AA_26,AA,30000.0,15444.0,5427.45,0.0,0.0,9128.55,0.180915,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
15,,,,,,,,NDU_CAP_26,CAP,1500000.0,846293.81,36988.0,0.0,0.0,616718.19,0.0246586666666667,0.0,TJS SET OF BOOKS,1,0,not anomaly,-1,1,anomaly,2,0,not anomaly,1,low
16,,,,,,,,NDU_CIC_26,CIC,560000.0,0.0,0.0,0.0,0.0,560000.0,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,1,0,not anomaly,2,0,not anomaly,0,none
17,,,,,,,,NDU_CISA_26,CISA,230000.0,0.0,0.0,0.0,0.0,230000.0,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,1,0,not anomaly,2,0,not anomaly,0,none
18,,,,,,,,NDU_CIVPAY_AA_26,AA,682353.1,0.0,0.0,0.0,0.0,682353.1,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
19,,,,,,,,NDU_CIVPAY_CAP_26,CAP,157466.1,0.0,0.0,0.0,0.0,157466.1,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,-1,1,anomaly,2,0,not anomaly,1,low
20,,,,,,,,NDU_CIVPAY_CIC_26,CIC,1732127.11,0.0,0.0,0.0,0.0,1732127.11,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,1,0,not anomaly,2,0,not anomaly,0,none
21,,,,,,,,NDU_CIVPAY_CISA_26,CISA,1154751.4,0.0,0.0,0.0,0.0,1154751.4,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,1,0,not anomaly,2,0,not anomaly,0,none
22,,,,,,,,NDU_CIVPAY_COS_26,COS,157466.1,0.0,0.0,0.0,0.0,157466.1,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
23,,,,,,,,NDU_CIVPAY_CSO_26,CSO,209954.8,0.0,0.0,0.0,0.0,209954.8,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
24,,,,,,,,NDU_CIVPAY_ES_26,ES,1259728.81,0.0,0.0,0.0,0.0,1259728.81,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
25,,,,,,,,NDU_CIVPAY_FED_26,CSO,524887.0,0.0,0.0,0.0,0.0,524887.0,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
26,,,,,,,,NDU_CIVPAY_HF_26,AA,209954.8,0.0,0.0,0.0,0.0,209954.8,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
27,,,,,,,,NDU_CIVPAY_HRD_26,CSO,682353.12,0.0,0.0,0.0,0.0,682353.12,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
28,,,,,,,,NDU_CIVPAY_INSS_26,INSS,1154751.4,0.0,0.0,0.0,0.0,1154751.4,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,-1,1,anomaly,2,0,not anomaly,1,low
29,,,,,,,,NDU_CIVPAY_ITD_26,CSO,1154751.4,0.0,0.0,0.0,0.0,1154751.4,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
30,,,,,,,,NDU_CIVPAY_JFSC_26,JFSC,2361991.51,0.0,0.0,0.0,0.0,2361991.51,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
31,,,,,,,,NDU_CIVPAY_LIB_26,AA,1574661.01,0.0,0.0,0.0,0.0,1574661.01,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
32,,,,,,,,NDU_CIVPAY_NDWC_26,AA,682353.1,0.0,0.0,0.0,0.0,682353.1,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
33,,,,,,,,NDU_CIVPAY_NWC_26,NWC,1102262.7,0.0,0.0,0.0,0.0,1102262.7,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
34,,,,,,,,NDU_CIVPAY_OPS_26,CSO,1049774.0,0.0,0.0,0.0,0.0,1049774.0,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
35,,,,,,,,NDU_CIVPAY_PROC_26,COS,219807.97,0.0,0.0,0.0,0.0,219807.97,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
