id,project,gl organization,budget authority,commitments,obligations,expenditures,disbursements,funds available,oligation rate,expenditure rate,ledger name,dbscan labels,dbscan identifier,dbscan category,dbscan isolation labels,dbscan isolation anomaly identifier,dbscan isolation anomaly category,optics labels,optics identifier,optics category,optics isolation labels,optics isolation anomaly identifier,optics isolation anomaly category,hdbscan labels,hdbscan identifier,hdbscan category,hdbscan isolation labels,hdbscan isolation anomaly identifier,hdbscan isolation anomaly category,anomaly identifier,anomaly detector,fraud identifier,fraud detector,fraud measures,LINEAR cooks distance score,LINEAR cooks distance identifier,LINEAR cooks category,RIDGE cooks distance score,RIDGE cooks distance identifier,RIDGE cooks distance category,LASSO cooks distance score,LASSO cooks distance identifier,LASSO cooks distance category
1,NDU_AA_26,AA,30000.0,15444.0,5427.45,0.0,0.0,9128.55,0.180915,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,-1,1,Anomaly,1,0,Not anomaly,-1,1,Anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,8.237338617575232e+29,1,Outlier,8.237338617575232e+29,1,Outlier,8.237338617575232e+29,1,Outlier
2,NDU_CAP_26,CAP,1500000.0,846293.81,36988.0,0.0,0.0,616718.19,0.0246586666666667,0.0,TJS SET OF BOOKS,0,0,Not anomaly,-1,1,Anomaly,1,0,Not anomaly,-1,1,Anomaly,-1,1,Anomaly,-1,1,Anomaly,3,critical,1,is fraud,0.1363636363636363,22.14777838166813,1,Outlier,22.14777838166813,1,Outlier,22.14777838166813,1,Outlier
3,NDU_CIC_26,CIC,560000.0,0.0,0.0,0.0,0.0,560000.0,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0001252605015811,0,Not outlier,0.0001252605015811,0,Not outlier,0.00012526050158116146,0,Not outlier
4,NDU_CISA_26,CISA,230000.0,0.0,0.0,0.0,0.0,230000.0,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,7.419483265488974e-07,0,Not outlier,7.419483265488974e-07,0,Not outlier,7.419483265488974e-07,0,Not outlier
5,NDU_CIVPAY_AA_26,AA,682353.1,0.0,0.0,0.0,0.0,682353.1,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0006242167024628,0,Not outlier,0.0006242167024628,0,Not outlier,0.0006242167024628931,0,Not outlier
6,NDU_CIVPAY_CAP_26,CAP,157466.1,0.0,0.0,0.0,0.0,157466.1,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,1.2820246355672962e-05,0,Not outlier,1.2820246355672962e-05,0,Not outlier,1.2820246355672962e-05,0,Not outlier
7,NDU_CIVPAY_CIC_26,CIC,1732127.11,0.0,0.0,0.0,0.0,1732127.11,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.002305405330366,0,Not outlier,0.002305405330366,0,Not outlier,0.0023054053303660153,0,Not outlier
8,NDU_CIVPAY_CISA_26,CISA,1154751.4,0.0,0.0,0.0,0.0,1154751.4,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0007790526183491,0,Not outlier,0.0007790526183491,0,Not outlier,0.0007790526183491458,0,Not outlier
9,NDU_CIVPAY_COS_26,COS,157466.1,0.0,0.0,0.0,0.0,157466.1,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,2.2394967988574133e-05,0,Not outlier,2.2394967988574133e-05,0,Not outlier,2.2394967988574133e-05,0,Not outlier
10,NDU_CIVPAY_CSO_26,CSO,209954.8,0.0,0.0,0.0,0.0,209954.8,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,5.882304463688077e-06,0,Not outlier,5.882304463688077e-06,0,Not outlier,5.882304463688077e-06,0,Not outlier
11,NDU_CIVPAY_ES_26,ES,1259728.81,0.0,0.0,0.0,0.0,1259728.81,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0007785267040591,0,Not outlier,0.0007785267040591,0,Not outlier,0.0007785267040591538,0,Not outlier
12,NDU_CIVPAY_FED_26,CSO,524887.0,0.0,0.0,0.0,0.0,524887.0,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0001696079959342,0,Not outlier,0.0001696079959342,0,Not outlier,0.0001696079959342989,0,Not outlier
13,NDU_CIVPAY_HF_26,AA,209954.8,0.0,0.0,0.0,0.0,209954.8,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,1.8559660663029412e-08,0,Not outlier,1.855966066302941e-08,0,Not outlier,1.8559660663029412e-08,0,Not outlier
14,NDU_CIVPAY_HRD_26,CSO,682353.12,0.0,0.0,0.0,0.0,682353.12,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.000555045287934,0,Not outlier,0.000555045287934,0,Not outlier,0.0005550452879340264,0,Not outlier
15,NDU_CIVPAY_INSS_26,INSS,1154751.4,0.0,0.0,0.0,0.0,1154751.4,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0007790526183491,0,Not outlier,0.0007790526183491,0,Not outlier,0.000779052618349147,0,Not outlier
16,NDU_CIVPAY_ITD_26,CSO,1154751.4,0.0,0.0,0.0,0.0,1154751.4,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0012389875736699,0,Not outlier,0.0012389875736699,0,Not outlier,0.001238987573669995,0,Not outlier
17,NDU_CIVPAY_JFSC_26,JFSC,2361991.51,0.0,0.0,0.0,0.0,2361991.51,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0154629541740704,0,Not outlier,0.0154629541740704,0,Not outlier,0.015462954174070427,0,Not outlier
18,NDU_CIVPAY_LIB_26,AA,1574661.01,0.0,0.0,0.0,0.0,1574661.01,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.004348337704351,0,Not outlier,0.004348337704351,0,Not outlier,0.004348337704351018,0,Not outlier
19,NDU_CIVPAY_NDWC_26,AA,682353.1,0.0,0.0,0.0,0.0,682353.1,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0006242167024628,0,Not outlier,0.0006242167024628,0,Not outlier,0.0006242167024628914,0,Not outlier
20,NDU_CIVPAY_NWC_26,NWC,1102262.7,0.0,0.0,0.0,0.0,1102262.7,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0007820058593265,0,Not outlier,0.0007820058593265,0,Not outlier,0.0007820058593265755,0,Not outlier
21,NDU_CIVPAY_OPS_26,CSO,1049774.0,0.0,0.0,0.0,0.0,1049774.0,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0012080516901486,0,Not outlier,0.0012080516901486,0,Not outlier,0.0012080516901486927,0,Not outlier
22,NDU_CIVPAY_PROC_26,COS,219807.97,0.0,0.0,0.0,0.0,219807.97,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0001243253176901,0,Not outlier,0.0001243253176901,0,Not outlier,0.00012432531769015164,0,Not outlier
23,NDU_CIVPAY_RMD_26,COS,849672.36,0.0,0.0,0.0,0.0,849672.36,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0012208275131501,0,Not outlier,0.0012208275131501,0,Not outlier,0.0012208275131501017,0,Not outlier
24,NDU_CIVPAY_SEC_26,CSO,314932.2,0.0,0.0,0.0,0.0,314932.2,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,6.148825881303237e-05,0,Not outlier,6.148825881303237e-05,0,Not outlier,6.148825881303237e-05,0,Not outlier
25,NDU_COS_26,COS,110000.0,104285.15,0.0,0.0,0.0,5714.85,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0003573805473543,0,Not outlier,0.0003573805473543,0,Not outlier,0.0003573805473543073,0,Not outlier
26,NDU_CSO_26,CSO,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,3.3014287202539616e-05,0,Not outlier,3.3014287202539616e-05,0,Not outlier,3.3014287202539616e-05,0,Not outlier
27,NDU_ES_26,ES,900000.0,0.0,9366.25,0.0,0.0,890633.75,0.0104069444444444,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0004426237387166,0,Not outlier,0.0004426237387166,0,Not outlier,0.0004426237387166444,0,Not outlier
