sof_PT_auto,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Task Organization,BFY,BA BSA BLI,Fund,Limit,Project Number,Task Number,Expenditure Type,Class Category,Class Code,Budget Authority,Commitments,Obligations,Non-Labor Expenditures,Labor Expenditures,Total Expenditures,Funds Used,Funds Available 
"100A - NDU COS, OFC OF THE CHIEF OF STAFF",2026,030000333PL1000000000000,9701002626D,1200,NDU_CIVPAY_COS_26,0100D_0804798JCA_26,111.1-Labor-Regular,,,0,0,0,0,33411.44,33411.44,33411.44,-33411.44
,,,,,,,111.7-Holiday Taken,,,0,0,0,0,2615.04,2615.04,2615.04,-2615.04
,,,,,,,113.1-Labor-Regular,,,0,0,0,0,15713.04,15713.04,15713.04,-15713.04
,,,,,,,113.7-Holiday Taken,,,0,0,0,0,1496.48,1496.48,1496.48,-1496.48
,,,,,,,121.4-Medicare,,,0,0,0,0,705.32,705.32,705.32,-705.32
,,,,,,,121.5-TSP,,,0,0,0,0,2447.88,2447.88,2447.88,-2447.88
,,,,,,,121.6-FERS,,,0,0,0,0,8375.05,8375.05,8375.05,-8375.05
,,,,,,,121.7-FEGLI,,,0,0,0,0,68.08,68.08,68.08,-68.08
,,,,,,,121.A-OASDI Employer Contrib,,,0,0,0,0,2948.37,2948.37,2948.37,-2948.37
,,,,,,,,,,157466.1,0,0,0,0,0,0,157466.1
,,,,,NDU_CIVPAY_COS_26 Total,,,,,157466.1,0,0,0,67780.7,67780.7,67780.7,89685.4
,,,,,NDU_CIVPAY_PROC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0,0,0,0,30406.7,30406.7,30406.7,-30406.7
,,,,,,,111.2-Annual Leave Taken,,,0,0,0,0,-8708,-8708,-8708,8708
,,,,,,,111.7-Holiday Taken,,,0,0,0,0,1244,1244,1244,-1244
