id,project number,task number,expenditure type,class category,class code,budget authority,commitments,obligations,non labor expenditures,labor expenditures,total expenditures,funds used,funds available
1,NDU_CIVPAY_COS_26,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,33411.44,33411.44,33411.44,-33411.44
2,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,2615.04,2615.04,2615.04,-2615.04
3,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,15713.04,15713.04,15713.04,-15713.04
4,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1496.48,1496.48,1496.48,-1496.48
5,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,705.32,705.32,705.32,-705.32
6,,,121.5-TSP,,,0.0,0.0,0.0,0.0,2447.88,2447.88,2447.88,-2447.88
7,,,121.6-FERS,,,0.0,0.0,0.0,0.0,8375.05,8375.05,8375.05,-8375.05
8,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,68.08,68.08,68.08,-68.08
9,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,2948.37,2948.37,2948.37,-2948.37
10,,,,,,157466.1,0.0,0.0,0.0,0.0,0.0,0.0,157466.1
11,NDU_CIVPAY_COS_26 Total,,,,,157466.1,0.0,0.0,0.0,67780.7,67780.7,67780.7,89685.4
12,NDU_CIVPAY_PROC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,30406.7,30406.7,30406.7,-30406.7
13,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-8708.0,-8708.0,-8708.0,8708.0
14,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1244.0,1244.0,1244.0,-1244.0
15,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-307.28,-307.28,-307.28,307.28
16,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,1735.74,1735.74,1735.74,-1735.74
17,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,290.93,290.93,290.93,-290.93
18,,,121.5-TSP,,,0.0,0.0,0.0,0.0,1043.49,1043.49,1043.49,-1043.49
19,,,121.6-FERS,,,0.0,0.0,0.0,0.0,3443.58,3443.58,3443.58,-3443.58
20,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,42.24,42.24,42.24,-42.24
21,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,1244.0,1244.0,1244.0,-1244.0
22,,,,,,167319.27,0.0,0.0,0.0,0.0,0.0,0.0,167319.27
23,,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,18024.0,18024.0,18024.0,-18024.0
24,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-5257.0,-5257.0,-5257.0,5257.0
25,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,751.0,751.0,751.0,-751.0
26,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-204.37,-204.37,-204.37,204.37
27,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,1430.59,1430.59,1430.59,-1430.59
28,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,172.05,172.05,172.05,-172.05
29,,,121.5-TSP,,,0.0,0.0,0.0,0.0,619.58,619.58,619.58,-619.58
30,,,121.6-FERS,,,0.0,0.0,0.0,0.0,2044.6,2044.6,2044.6,-2044.6
31,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,25.44,25.44,25.44,-25.44
32,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,735.67,735.67,735.67,-735.67
33,,,,,,52488.7,0.0,0.0,0.0,0.0,0.0,0.0,52488.7
34,NDU_CIVPAY_PROC_26 Total,,,,,219807.97,0.0,0.0,0.0,48776.96,48776.96,48776.96,171031.01
35,NDU_CIVPAY_RMD_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,150333.71,150333.71,150333.71,-150333.71
36,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-42250.9,-42250.9,-42250.9,42250.9
37,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,768.47,768.47,768.47,-768.47
38,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,5357.84,5357.84,5357.84,-5357.84
39,,,111.A-Comp Time Taken,,,0.0,0.0,0.0,0.0,-527.02,-527.02,-527.02,527.02
40,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-664.43,-664.43,-664.43,664.43
41,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,3734.27,3734.27,3734.27,-3734.27
42,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,1473.13,1473.13,1473.13,-1473.13
43,,,121.5-TSP,,,0.0,0.0,0.0,0.0,5172.92,5172.92,5172.92,-5172.92
44,,,121.6-FERS,,,0.0,0.0,0.0,0.0,17820.76,17820.76,17820.76,-17820.76
45,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,210.0,210.0,210.0,-210.0
46,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,6298.77,6298.77,6298.77,-6298.77
47,,,,,,534740.16,0.0,0.0,0.0,0.0,0.0,0.0,534740.16
48,,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,66186.05,66186.05,66186.05,-66186.05
49,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-13447.83,-13447.83,-13447.83,13447.83
50,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,317.47,317.47,317.47,-317.47
51,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,3240.38,3240.38,3240.38,-3240.38
52,,,111.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,955.2,955.2,955.2,-955.2
53,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-755.36,-755.36,-755.36,755.36
54,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,4795.76,4795.76,4795.76,-4795.76
55,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,705.45,705.45,705.45,-705.45
56,,,121.5-TSP,,,0.0,0.0,0.0,0.0,2064.59,2064.59,2064.59,-2064.59
57,,,121.6-FERS,,,0.0,0.0,0.0,0.0,9286.52,9286.52,9286.52,-9286.52
58,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,100.16,100.16,100.16,-100.16
59,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,3016.49,3016.49,3016.49,-3016.49
60,,,,,,314932.2,0.0,0.0,0.0,0.0,0.0,0.0,314932.2
61,NDU_CIVPAY_RMD_26 Total,,,,,849672.36,0.0,0.0,0.0,224192.4,224192.4,224192.4,625479.96
62,NDU_COS_26,0100D_COS_FRONT_OFFICE_26,251.10 Management Prof Srvc,,,0.0,104285.15,0.0,0.0,0.0,0.0,104285.15,-104285.15
63,,,,,,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0
64,NDU_COS_26 Total,,,,,110000.0,104285.15,0.0,0.0,0.0,0.0,104285.15,5714.85
65,NDU_NDUP_26,0100D_OPS_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,615.54,0.0,0.0,0.0,615.54,-615.54
66,,,,,,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0
67,NDU_NDUP_26 Total,,,,,25000.0,0.0,615.54,0.0,0.0,0.0,615.54,24384.46
68,NDU_ORF_26,0100D_ORF_26,,,,25000.01,0.0,0.0,0.0,0.0,0.0,0.0,25000.01
69,NDU_ORF_26 Total,,,,,25000.01,0.0,0.0,0.0,0.0,0.0,0.0,25000.01
70,NDU_PROC_26,0100D_OPS_26,251.10 Management Prof Srvc,,,0.0,225000.0,0.0,0.0,0.0,0.0,225000.0,-225000.0
71,,,,,,230000.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0
72,NDU_PROC_26 Total,,,,,230000.0,225000.0,0.0,0.0,0.0,0.0,225000.0,5000.0
73,NDU_RMD_26,0100D_OPS_26,251.10 Management Prof Srvc,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,,,253.2A IA DFAS,,,0.0,0.0,300000.0,0.0,0.0,0.0,300000.0,-300000.0
75,,,,,,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0
76,NDU_RMD_26 Total,,,,,560000.0,0.0,300000.0,0.0,0.0,0.0,300000.0,260000.0
77,,,,,,2176946.44,329285.15,300615.54,0.0,340750.06,340750.06,970650.75,1206295.69
78,NDU_CIVPAY_CSO_26,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,65970.99,65970.99,65970.99,-65970.99
79,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,1544.56,1544.56,1544.56,-1544.56
80,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,5148.33,5148.33,5148.33,-5148.33
81,,,111.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,81.08,81.08,81.08,-81.08
82,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,24227.12,24227.12,24227.12,-24227.12
83,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-7033.68,-7033.68,-7033.68,7033.68
